"","name","Pwilcox"
"1","2011-m1s2-ter",0.790422587099911
"2","4Dnest",0.567261447891383
"3","abs",0.00424871460195374
"4","acceleo",0.361671103267812
"5","accesointeligente",0.660145795547518
"6","accumulo",0.893320590474686
"7","ace",0.368104023063414
"8","activemq",0.535334587639761
"9","activemq-cpp",0.265708698946856
"10","activiti",0.415186825618646
"11","Activiti",0.579775169354184
"12","adempiere",0.00011289335190853
"13","adito_reload",0.000294020837733297
"14","adobe-flex-pmd",0.474873392065254
"15","adventure",0.290508577327578
"16","agora",0.348444410981544
"17","aio-portal",0.847655283961531
"18","ajaxplorer",0.945237866199767
"19","ajaxplorer-core",0.730347470281245
"20","AKeyboard",0.712790623337467
"21","akvo-flow",0.61258563707752
"22","Alitheia-Core",0.921591648539831
"23","alkacon-oamp",0.0509166831507344
"24","alvis",0.00909891232237247
"25","ambari",0.125940847309467
"26","amcat",0.706926893637593
"27","AMPS",0.0162801431257357
"28","amu_automata_2011",0.548317071491864
"29","amuse",0.750064237929404
"30","andors-trail",0.528819583284366
"31","android",0.870023388055494
"32","android-arabic-reader",0.832360983063025
"33","android-build",0.024233814556946
"34","android-development",0.628526586538766
"35","android-music-backport",0.131193404408068
"36","android-packages-apps-Trebuchet",0.392647758828852
"37","android-sdk",0.920592280088435
"38","Android-Terminal-Emulator",0.395901534583524
"39","Android-Universal-Image-Loader",0.247426959323149
"40","android_bionic",0.759191060011349
"41","android_browser",0.0762080764549766
"42","android_build",0.958985917117042
"43","android_dalvik",0.927876161219701
"44","android_development",0.236944543232756
"45","android_device_samsung_crespo",0.724056512466163
"46","android_device_samsung_tuna",0.520756270078329
"47","android_device_samsung_wave",0.00130101884493596
"48","android_external_apache-xml",0.0408902979169121
"49","android_external_bouncycastle",0.742929206521532
"50","android_external_javasqlite",0.0014189853302452
"51","android_external_skia-1",0.914399053450305
"52","android_frameworks_opt_telephony",0.4104267495835
"53","android_hardware_qcom_media-v4l2",0.702253710608822
"54","android_kernel_acer_c10",0.0569299991652096
"55","android_libcore",0.622769372088084
"56","android_libcore_s4",0.954143858724673
"57","android_packages_apps_ADWLauncher",0.788262940524224
"58","android_packages_apps_Browser",0.738419752926019
